freq,unit_nrg_bal,geo,TIME_PERIOD,OBS_VALUE_nrg_bal,LAST UPDATE_nrg_bal,OBS_VALUE_nrg_ind_ren,LAST UPDATE_nrg_ind_ren,unit_nrg_ind_ren,nrg_bal_category,nuts_code
Annual,Terajoule,Germany,2018,4744377.088,16/12/24 23:00:00,16.66,19/09/24 23:00:00,Percentage,Renewable energy - overall,DE
Annual,Terajoule,Germany,2019,4407692.403,16/12/24 23:00:00,17.266,19/09/24 23:00:00,Percentage,Renewable energy - overall,DE
Annual,Terajoule,Germany,2020,4099029.491,16/12/24 23:00:00,19.09,19/09/24 23:00:00,Percentage,Renewable energy - overall,DE
Annual,Terajoule,Germany,2021,4338758.495,16/12/24 23:00:00,19.3,19/09/24 23:00:00,Percentage,Renewable energy - overall,DE
Annual,Terajoule,Germany,2022,4069085.272,16/12/24 23:00:00,20.814,19/09/24 23:00:00,Percentage,Renewable energy - overall,DE
Annual,Terajoule,Germany,2023,3481823.869,16/12/24 23:00:00,21.562,19/09/24 23:00:00,Percentage,Renewable energy - overall,DE
Annual,Terajoule,Greece,2014,370934.937,16/12/24 23:00:00,15.683,19/09/24 23:00:00,Percentage,Renewable energy - overall,GR
Annual,Terajoule,Greece,2015,357121.464,16/12/24 23:00:00,15.69,19/09/24 23:00:00,Percentage,Renewable energy - overall,GR
Annual,Terajoule,Greece,2016,283511.903,16/12/24 23:00:00,15.39,19/09/24 23:00:00,Percentage,Renewable energy - overall,GR
Annual,Terajoule,Greece,2017,313613.279,16/12/24 23:00:00,17.3,19/09/24 23:00:00,Percentage,Renewable energy - overall,GR
Annual,Terajoule,Greece,2018,315462.801,16/12/24 23:00:00,18.001,19/09/24 23:00:00,Percentage,Renewable energy - overall,GR
Annual,Terajoule,Greece,2019,266660.779,16/12/24 23:00:00,19.633,19/09/24 23:00:00,Percentage,Renewable energy - overall,GR
Annual,Terajoule,Greece,2020,207248.784,16/12/24 23:00:00,21.749,19/09/24 23:00:00,Percentage,Renewable energy - overall,GR
Annual,Terajoule,Greece,2021,217418.837,16/12/24 23:00:00,22.001,19/09/24 23:00:00,Percentage,Renewable energy - overall,GR
Annual,Terajoule,Greece,2022,221161.127,16/12/24 23:00:00,22.671,19/09/24 23:00:00,Percentage,Renewable energy - overall,GR
Annual,Terajoule,Greece,2023,221794.48,16/12/24 23:00:00,25.269,19/09/24 23:00:00,Percentage,Renewable energy - overall,GR
Annual,Terajoule,Hungary,2014,455521.822,16/12/24 23:00:00,14.618,19/09/24 23:00:00,Percentage,Renewable energy - overall,HU
Annual,Terajoule,Hungary,2015,464929.144,16/12/24 23:00:00,14.495,19/09/24 23:00:00,Percentage,Renewable energy - overall,HU
Annual,Terajoule,Hungary,2016,472259.885,16/12/24 23:00:00,14.377,19/09/24 23:00:00,Percentage,Renewable energy - overall,HU
Annual,Terajoule,Hungary,2017,466816.32,16/12/24 23:00:00,13.556,19/09/24 23:00:00,Percentage,Renewable energy - overall,HU
Annual,Terajoule,Hungary,2018,455171.71,16/12/24 23:00:00,12.548,19/09/24 23:00:00,Percentage,Renewable energy - overall,HU
Annual,Terajoule,Hungary,2019,451618.933,16/12/24 23:00:00,12.634,19/09/24 23:00:00,Percentage,Renewable energy - overall,HU
Annual,Terajoule,Hungary,2020,443333.08,16/12/24 23:00:00,13.85,19/09/24 23:00:00,Percentage,Renewable energy - overall,HU
Annual,Terajoule,Hungary,2021,445741.444,16/12/24 23:00:00,14.134,19/09/24 23:00:00,Percentage,Renewable energy - overall,HU
Annual,Terajoule,Hungary,2022,444706.869,16/12/24 23:00:00,15.128,19/09/24 23:00:00,Percentage,Renewable energy - overall,HU
Annual,Terajoule,Hungary,2023,444583.992,16/12/24 23:00:00,17.117,19/09/24 23:00:00,Percentage,Renewable energy - overall,HU
Annual,Terajoule,Iceland,2014,219081.572,16/12/24 23:00:00,73.043,19/09/24 23:00:00,Percentage,Renewable energy - overall,IS
Annual,Terajoule,Iceland,2015,206325.79,16/12/24 23:00:00,71.949,19/09/24 23:00:00,Percentage,Renewable energy - overall,IS
Annual,Terajoule,Iceland,2016,192788.702,16/12/24 23:00:00,75.329,19/09/24 23:00:00,Percentage,Renewable energy - overall,IS
Annual,Terajoule,Iceland,2017,205999.356,16/12/24 23:00:00,74.104,19/09/24 23:00:00,Percentage,Renewable energy - overall,IS
Annual,Terajoule,Iceland,2018,227354.82,16/12/24 23:00:00,77.173,19/09/24 23:00:00,Percentage,Renewable energy - overall,IS
Annual,Terajoule,Iceland,2019,223022.186,16/12/24 23:00:00,78.612,19/09/24 23:00:00,Percentage,Renewable energy - overall,IS
Annual,Terajoule,Iceland,2020,220435.618,16/12/24 23:00:00,83.725,19/09/24 23:00:00,Percentage,Renewable energy - overall,IS
Annual,Terajoule,Iceland,2021,217399.833,16/12/24 23:00:00,79.618,19/09/24 23:00:00,Percentage,Renewable energy - overall,IS
Annual,Terajoule,Iceland,2022,222591.781,16/12/24 23:00:00,78.602,19/09/24 23:00:00,Percentage,Renewable energy - overall,IS
Annual,Terajoule,Iceland,2023,225045.736,16/12/24 23:00:00,80.856,19/09/24 23:00:00,Percentage,Renewable energy - overall,IS
Annual,Terajoule,Ireland,2014,86318.82,16/12/24 23:00:00,8.516,19/09/24 23:00:00,Percentage,Renewable energy - overall,IE
Annual,Terajoule,Ireland,2015,82585.469,16/12/24 23:00:00,9.083,19/09/24 23:00:00,Percentage,Renewable energy - overall,IE
Annual,Terajoule,Ireland,2016,177842.645,16/12/24 23:00:00,9.189,19/09/24 23:00:00,Percentage,Renewable energy - overall,IE
Annual,Terajoule,Ireland,2017,204831.271,16/12/24 23:00:00,10.52,19/09/24 23:00:00,Percentage,Renewable energy - overall,IE
Annual,Terajoule,Ireland,2018,211523.96,16/12/24 23:00:00,10.942,19/09/24 23:00:00,Percentage,Renewable energy - overall,IE
Annual,Terajoule,Ireland,2019,174414.395,16/12/24 23:00:00,11.979,19/09/24 23:00:00,Percentage,Renewable energy - overall,IE
Annual,Terajoule,Ireland,2020,149832.286,16/12/24 23:00:00,16.16,19/09/24 23:00:00,Percentage,Renewable energy - overall,IE
Annual,Terajoule,Ireland,2021,127279.444,16/12/24 23:00:00,12.996,19/09/24 23:00:00,Percentage,Renewable energy - overall,IE
Annual,Terajoule,Ireland,2022,131305.661,16/12/24 23:00:00,13.068,19/09/24 23:00:00,Percentage,Renewable energy - overall,IE
Annual,Terajoule,Ireland,2023,125046.972,16/12/24 23:00:00,15.253,19/09/24 23:00:00,Percentage,Renewable energy - overall,IE
Annual,Terajoule,Italy,2014,1536324.51,16/12/24 23:00:00,17.082,19/09/24 23:00:00,Percentage,Renewable energy - overall,IT
Annual,Terajoule,Italy,2015,1511353.762,16/12/24 23:00:00,17.525,19/09/24 23:00:00,Percentage,Renewable energy - overall,IT
Annual,Terajoule,Italy,2016,1403355.569,16/12/24 23:00:00,17.415,19/09/24 23:00:00,Percentage,Renewable energy - overall,IT
Annual,Terajoule,Italy,2017,1535159.996,16/12/24 23:00:00,18.267,19/09/24 23:00:00,Percentage,Renewable energy - overall,IT
Annual,Terajoule,Italy,2018,1563440.436,16/12/24 23:00:00,17.796,19/09/24 23:00:00,Percentage,Renewable energy - overall,IT
Annual,Terajoule,Italy,2019,1545338.608,16/12/24 23:00:00,18.181,19/09/24 23:00:00,Percentage,Renewable energy - overall,IT
Annual,Terajoule,Italy,2020,1569191.814,16/12/24 23:00:00,20.359,19/09/24 23:00:00,Percentage,Renewable energy - overall,IT
Annual,Terajoule,Italy,2021,1552394.832,16/12/24 23:00:00,18.883,19/09/24 23:00:00,Percentage,Renewable energy - overall,IT
