freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,LAST UPDATE
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Denmark,2020,1337.334,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Denmark,2021,4035.538,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Denmark,2022,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Denmark,2023,66.825,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Estonia,2014,205.833,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Estonia,2015,63.333,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Estonia,2016,102.917,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Estonia,2017,150.417,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Estonia,2018,102.917,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Estonia,2019,161.263,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Estonia,2020,148.438,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Estonia,2021,136.167,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Estonia,2022,71.408,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Estonia,2023,48.054,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Greece,2014,66.458,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Greece,2015,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Greece,2016,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Greece,2017,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Greece,2018,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Greece,2019,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Greece,2020,4.481,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Greece,2021,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Greece,2022,755.209,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Greece,2023,1683.564,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Spain,2014,9418.482,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Spain,2015,8247.705,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Spain,2016,4011.513,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Spain,2017,2762.04,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Spain,2018,3844.869,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Spain,2019,11597.349,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Spain,2020,14563.281,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Spain,2021,5007.657,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Spain,2022,10606.256,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Spain,2023,25792.784,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,European Union - 27 countries (from 2020),2014,216591.631,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,European Union - 27 countries (from 2020),2015,197699.147,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,European Union - 27 countries (from 2020),2016,194941.433,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,European Union - 27 countries (from 2020),2017,168662.346,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,European Union - 27 countries (from 2020),2018,149250.401,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,European Union - 27 countries (from 2020),2019,145951.504,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,European Union - 27 countries (from 2020),2020,146406.333,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,European Union - 27 countries (from 2020),2021,165429.245,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,European Union - 27 countries (from 2020),2022,153376.468,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,European Union - 27 countries (from 2020),2023,165409.197,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Finland,2014,624.972,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Finland,2015,1066.083,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Finland,2016,819.778,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Finland,2017,1196.306,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Finland,2018,947.861,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Finland,2019,1725.333,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Finland,2020,1163.333,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Finland,2021,1371.562,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Finland,2022,650.583,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Finland,2023,1167.99,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,France,2014,435.556,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,France,2015,210.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,France,2016,645.556,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,France,2017,43.758,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,France,2018,387.714,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,France,2019,48.004,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,France,2020,97.23,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,France,2021,49.708,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,France,2022,84.762,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,France,2023,21.101,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Georgia,2014,14.167,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Georgia,2015,9.444,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Georgia,2016,9.444,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Georgia,2017,114.602,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Georgia,2018,9.034,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Georgia,2019,3.188,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Georgia,2020,2.597,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Georgia,2021,6.894,16/12/24 23:00:00
