geo,TIME_PERIOD,OBS_VALUE,LAST UPDATE,unit
Spain,2023,1239392.8,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Spain,2024,1282216.9,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
European Union - 27 countries (from 2020),2015,11612341.8,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
European Union - 27 countries (from 2020),2016,11835290.9,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
European Union - 27 countries (from 2020),2017,12168295.7,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
European Union - 27 countries (from 2020),2018,12417211.6,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
European Union - 27 countries (from 2020),2019,12650098.0,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
European Union - 27 countries (from 2020),2020,11946518.7,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
European Union - 27 countries (from 2020),2021,12705292.9,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
European Union - 27 countries (from 2020),2022,13155700.7,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
European Union - 27 countries (from 2020),2023,13213544.4,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
European Union - 27 countries (from 2020),2024,13353133.7,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Finland,2015,187826.2,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Finland,2016,192657.0,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Finland,2017,199021.1,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Finland,2018,201395.4,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Finland,2019,204113.7,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Finland,2020,199029.2,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Finland,2021,204355.9,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Finland,2022,205915.2,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Finland,2023,203981.5,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Finland,2024,204830.4,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
France,2015,2107347.3,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
France,2016,2125471.2,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
France,2017,2169757.8,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
France,2018,2205470.1,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
France,2019,2250184.8,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
France,2020,2082756.5,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
France,2021,2226098.8,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
France,2022,2286576.7,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
France,2023,2319485.4,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
France,2024,2347098.1,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Croatia,2015,45629.5,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Croatia,2016,47211.3,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Croatia,2017,48761.7,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Croatia,2018,50181.1,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Croatia,2019,51737.5,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Croatia,2020,47437.7,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Croatia,2021,53430.1,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Croatia,2022,57327.6,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Croatia,2023,59484.0,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Croatia,2024,61760.4,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Hungary,2015,110474.2,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Hungary,2016,113168.3,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Hungary,2017,117835.6,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Hungary,2018,124441.6,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Hungary,2019,130759.7,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Hungary,2020,125086.4,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Hungary,2021,134121.3,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Hungary,2022,139690.5,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Hungary,2023,138549.1,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Hungary,2024,139325.1,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Ireland,2015,235793.4,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Ireland,2016,238676.5,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Ireland,2017,262804.0,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
